Metai,Nr,Žaidėja,EFF,Komanda,Metai,Nr,Žaidėja,PTS,Komanda,Metai,Nr,Žaidėja,FG%,Komanda,Metai,Nr,Žaidėja,FT%,Komanda,Metai,Nr,Žaidėja,REB,Komanda,Metai,Nr,Žaidėja,AST,Komanda,Metai,Nr,Žaidėja,BS,Komanda,Metai,Nr,Žaidėja,ST,Komanda,Metai,Nr,Žaidėja,TO,Komanda,Metai,Nr,Žaidėja,MIN,Komanda
2018,11.,Ligita  Tamutytė,"11,30",Klaipėdos Fortūna,2018,11.,Andra  Gabalytė,"11,90",Klaipėdos Fortūna,2018,11.,Rugilė  Bartkutė,"50,00%",Šiaulių Šiauliai-Universitetas,2018,11.,Sabira  Ahayeva,"73,91%",Šiaulių Šiauliai-Universitetas,2018,11.,Rasa  Knyzaitė,"4,84",Ukmergės Vilkmergė,2018,11.,Gabija  Meškonytė,"2,79",Vilniaus Kibirkštis,2018,11.,Gintarė  Paulauskaitė,"0,40",Kauno Aistės-LSMU,2018,11.,Justina   Kraujūnaitė,"1,45",Vilniaus Kibirkštis,2018,11.,Kristė  Timofejeva,"2,60",Kauno Aistės-LSMU,2018,11.,Rasa  Knyzaitė,"28,84",Ukmergės Vilkmergė
2018,12.,Gabrielė  Šulskė,"11,25",Ukmergės Vilkmergė,2018,12.,Ligita  Tamutytė,"11,85",Klaipėdos Fortūna,2018,12.,Vesta  Peregorodejevaitė,"50,00%",Ukmergės Vilkmergė,2018,12.,Agnė  Černeckytė,"73,68%",Klaipėdos Fortūna,2018,12.,Manta  Urbonaitė,"4,80",Šiaulių Šiauliai-Universitetas,2018,12.,Greta  Stašelienė,"2,79",Kauno Aistės-LSMU,2018,12.,Eglė  Zabotkaitė,"0,36",Vilniaus Kibirkštis,2018,12.,Andra  Gabalytė,"1,45",Klaipėdos Fortūna,2018,12.,Dominyka  Kučinskaitė,"2,44",Šiaulių Šiauliai-Universitetas,2018,12.,Sabira  Ahayeva,"28,53",Šiaulių Šiauliai-Universitetas
2018,13.,Brigita   Gudelionytė,"10,45",Klaipėdos Fortūna,2018,13.,Agnė  Černeckytė,"10,85",Klaipėdos Fortūna,2018,13.,Martyna  Čepaitė,"50,00%",Ukmergės Vilkmergė,2018,13.,Livija  Sakevičiūtė,"73,33%",Vilniaus Kibirkštis,2018,13.,Gabija  Šegždaitė,"4,75",Kauno Aistės-LSMU,2018,13.,Deimantė  Žukaitė,"2,50",Kauno Aistės-LSMU,2018,13.,Manta  Urbonaitė,"0,33",Šiaulių Šiauliai-Universitetas,2018,13.,Kristė  Timofejeva,"1,45",Kauno Aistės-LSMU,2018,13.,Gabija  Janušaitė,"2,38",Šiaulių Šiauliai-Universitetas,2018,13.,Gabrielė  Šulskė,"28,35",Ukmergės Vilkmergė
2018,14.,Ieva  Šimkutė,"10,27",Vilniaus Kibirkštis,2018,14.,Greta  Stašelienė,"10,68",Kauno Aistės-LSMU,2018,14.,Kourtni Dinae Perry,"48,45%",Ukmergės Vilkmergė,2018,14.,Brigita   Gudelionytė,"70,00%",Klaipėdos Fortūna,2018,14.,Ieva  Šimkutė,"4,73",Vilniaus Kibirkštis,2018,14.,Lina  Mikelevičienė,"2,47",Klaipėdos Fortūna,2018,14.,Gabija  Janušaitė,"0,31",Šiaulių Šiauliai-Universitetas,2018,14.,Lina  Mikelevičienė,"1,42",Klaipėdos Fortūna,2018,14.,Daugilė  Šarauskaitė,"2,33",Kauno Aistės-LSMU,2018,14.,Morgan  Pullins,"28,25",Vilniaus Kibirkštis
2018,15.,Brigita  Sinickaitė,"10,06",Šiaulių Šiauliai-Universitetas,2018,15.,Dominyka  Paliulytė,"10,50",Šiaulių Šiauliai-Universitetas,2018,15.,Kristė  Timofejeva,"48,22%",Kauno Aistės-LSMU,2018,15.,Gabija  Meškonytė,"69,84%",Vilniaus Kibirkštis,2018,15.,Andra  Gabalytė,"4,70",Klaipėdos Fortūna,2018,15.,Ligita  Tamutytė,"2,10",Klaipėdos Fortūna,2018,15.,Gabija  Šegždaitė,"0,30",Kauno Aistės-LSMU,2018,15.,Kristina  Masionytė,"1,40",Kauno Aistės-LSMU,2018,15.,Deja Monet Middleton,"2,33",Vilniaus Kibirkštis,2018,15.,Kristė  Timofejeva,"27,90",Kauno Aistės-LSMU
2018,16.,Enrika  Matiukaitė,"9,88",Šiaulių Šiauliai-Universitetas,2018,16.,Livija  Sakevičiūtė,"9,45",Vilniaus Kibirkštis,2018,16.,Enrika  Matiukaitė,"47,66%",Šiaulių Šiauliai-Universitetas,2018,16.,Kristė  Timofejeva,"69,77%",Kauno Aistės-LSMU,2018,16.,Karolina  Kazočiūnaitė,"4,60",Kauno Aistės-LSMU,2018,16.,Livija  Sakevičiūtė,"1,95",Vilniaus Kibirkštis,2018,16.,Andra  Gabalytė,"0,25",Klaipėdos Fortūna,2018,16.,Klaudija  Serkevičiūtė,"1,35",Ukmergės Vilkmergė,2018,16.,Kristina  Masionytė,"2,30",Kauno Aistės-LSMU,2018,16.,Daugilė  Šarauskaitė,"27,75",Kauno Aistės-LSMU
2018,17.,Dalia  Donskichytė,"9,85",Vilniaus Kibirkštis,2018,17.,Dalia  Donskichytė,"9,45",Vilniaus Kibirkštis,2018,17.,Ieva  Savickaitė,"46,67%",Vilniaus Kibirkštis,2018,17.,Deimantė  Žukaitė,"69,77%",Kauno Aistės-LSMU,2018,17.,Gabija  Meškonytė,"4,37",Vilniaus Kibirkštis,2018,17.,Karolina  Kazočiūnaitė,"1,95",Kauno Aistės-LSMU,2018,17.,Karolina  Kazočiūnaitė,"0,25",Kauno Aistės-LSMU,2018,17.,Deja Monet Middleton,"1,33",Vilniaus Kibirkštis,2018,17.,Justina   Kraujūnaitė,"2,20",Vilniaus Kibirkštis,2018,17.,Kourtni Dinae Perry,"26,75",Ukmergės Vilkmergė
2018,18.,Karolina  Kazočiūnaitė,"9,55",Kauno Aistės-LSMU,2018,18.,Enrika  Matiukaitė,"9,31",Šiaulių Šiauliai-Universitetas,2018,18.,Agnė  Bobinaitė,"46,09%",Vilniaus Kibirkštis,2018,18.,Klaudija  Serkevičiūtė,"68,75%",Ukmergės Vilkmergė,2018,18.,Urtė  Bukauskaitė,"4,10",Ukmergės Vilkmergė,2018,18.,Urtė  Slavickaitė,"1,92",Vilniaus Kibirkštis,2018,18.,Lina  Mikelevičienė,"0,21",Klaipėdos Fortūna,2018,18.,Urtė  Slavickaitė,"1,31",Vilniaus Kibirkštis,2018,18.,Agnė  Černeckytė,"2,20",Klaipėdos Fortūna,2018,18.,Karolina  Kazočiūnaitė,"26,40",Kauno Aistės-LSMU
2018,19.,Gabija  Šegždaitė,"9,35",Kauno Aistės-LSMU,2018,19.,Karolina  Kazočiūnaitė,"8,45",Kauno Aistės-LSMU,2018,19.,Greta  Stašelienė,"44,59%",Kauno Aistės-LSMU,2018,19.,Ieva  Šimkutė,"66,67%",Vilniaus Kibirkštis,2018,19.,Martyna   Petrėnaitė,"3,85",Ukmergės Vilkmergė,2018,19.,Morgan  Pullins,"1,88",Vilniaus Kibirkštis,2018,19.,Ligita  Tamutytė,"0,20",Klaipėdos Fortūna,2018,19.,Livija  Sakevičiūtė,"1,30",Vilniaus Kibirkštis,2018,19.,Kamilė  Berenytė,"2,20",Klaipėdos Fortūna,2018,19.,Greta  Stašelienė,"25,89",Kauno Aistės-LSMU
2018,20.,Greta  Stašelienė,"9,05",Kauno Aistės-LSMU,2018,20.,Martyna   Petrėnaitė,"8,23",Ukmergės Vilkmergė,2018,20.,Lina  Mikelevičienė,"43,55%",Klaipėdos Fortūna,2018,20.,Dominyka  Paliulytė,"66,67%",Šiaulių Šiauliai-Universitetas,2018,20.,Kamilė  Berenytė,"3,80",Klaipėdos Fortūna,2018,20.,Dominyka  Paliulytė,"1,80",Šiaulių Šiauliai-Universitetas,2018,20.,Kristina  Masionytė,"0,20",Kauno Aistės-LSMU,2018,20.,Daugilė  Šarauskaitė,"1,17",Kauno Aistės-LSMU,2018,20.,Milda  Sauliūtė,"1,95",Kauno Aistės-LSMU,2018,20.,Livija  Sakevičiūtė,"25,70",Vilniaus Kibirkštis
2018,21.,Rasa  Knyzaitė,"8,89",Ukmergės Vilkmergė,2018,21.,Rasa  Knyzaitė,"8,21",Ukmergės Vilkmergė,2018,21.,Goda  Vašurenkaitė,"42,86%",Ukmergės Vilkmergė,2018,21.,Ligita  Tamutytė,"66,38%",Klaipėdos Fortūna,2018,21.,Brigita  Sinickaitė,"3,75",Šiaulių Šiauliai-Universitetas,2018,21.,Brigita   Gudelionytė,"1,75",Klaipėdos Fortūna,2018,21.,Justina  Miknaitė,"0,20",Vilniaus Kibirkštis,2018,21.,Agnė  Černeckytė,"1,15",Klaipėdos Fortūna,2018,21.,Manta  Urbonaitė,"1,93",Šiaulių Šiauliai-Universitetas,2018,21.,Enrika  Matiukaitė,"25,69",Šiaulių Šiauliai-Universitetas
2018,22.,Agnė  Černeckytė,"8,55",Klaipėdos Fortūna,2018,22.,Gabija  Šegždaitė,"8,05",Kauno Aistės-LSMU,2018,22.,Klaudija  Serkevičiūtė,"42,58%",Ukmergės Vilkmergė,2018,22.,Kristina  Masionytė,"65,85%",Kauno Aistės-LSMU,2018,22.,Gabrielė  Šulskė,"3,55",Ukmergės Vilkmergė,2018,22.,Kristina  Masionytė,"1,75",Kauno Aistės-LSMU,2018,22.,Goda  Vašurenkaitė,"0,20",Ukmergės Vilkmergė,2018,22.,Dominyka  Kučinskaitė,"1,13",Šiaulių Šiauliai-Universitetas,2018,22.,Martyna   Petrėnaitė,"1,92",Ukmergės Vilkmergė,2018,22.,Dalia  Donskichytė,"24,55",Vilniaus Kibirkštis
2018,23.,Vaida  Ruseckienė,"7,59",Kauno Aistės-LSMU,2018,23.,Ieva  Šimkutė,"7,82",Vilniaus Kibirkštis,2018,23.,Deimantė  Žukaitė,"41,79%",Kauno Aistės-LSMU,2018,23.,Justina   Kraujūnaitė,"65,52%",Vilniaus Kibirkštis,2018,23.,Dominyka  Paliulytė,"3,50",Šiaulių Šiauliai-Universitetas,2018,23.,Rasa  Knyzaitė,"1,74",Ukmergės Vilkmergė,2018,23.,Brigita  Sinickaitė,"0,19",Šiaulių Šiauliai-Universitetas,2018,23.,Eglė  Zabotkaitė,"1,09",Vilniaus Kibirkštis,2018,23.,Gabija  Šegždaitė,"1,85",Kauno Aistės-LSMU,2018,23.,Martyna   Petrėnaitė,"24,38",Ukmergės Vilkmergė
2018,24.,Justina   Kraujūnaitė,"6,50",Vilniaus Kibirkštis,2018,24.,Agnė  Bobinaitė,"7,53",Vilniaus Kibirkštis,2018,24.,Gabija  Meškonytė,"41,72%",Vilniaus Kibirkštis,2018,24.,Morgan  Pullins,"64,81%",Vilniaus Kibirkštis,2018,24.,Vaida  Ruseckienė,"3,35",Kauno Aistės-LSMU,2018,24.,Daugilė  Šarauskaitė,"1,42",Kauno Aistės-LSMU,2018,24.,Martyna  Čepaitė,"0,17",Ukmergės Vilkmergė,2018,24.,Kourtni Dinae Perry,"1,05",Ukmergės Vilkmergė,2018,24.,Gabija  Meškonytė,"1,84",Vilniaus Kibirkštis,2018,24.,Urtė  Bukauskaitė,"23,60",Ukmergės Vilkmergė
2018,25.,Agnė  Bobinaitė,"6,47",Vilniaus Kibirkštis,2018,25.,Sabira  Ahayeva,"7,40",Šiaulių Šiauliai-Universitetas,2018,25.,Dalia  Donskichytė,"41,30%",Vilniaus Kibirkštis,2018,25.,Ieva  Šerpytytė,"64,29%",Šiaulių Šiauliai-Universitetas,2018,25.,Sabira  Ahayeva,"3,33",Šiaulių Šiauliai-Universitetas,2018,25.,Goda  Vašurenkaitė,"1,40",Ukmergės Vilkmergė,2018,25.,Emilija  Grigaliūnaitė,"0,17",Vilniaus Kibirkštis,2018,25.,Ligita  Tamutytė,"0,95",Klaipėdos Fortūna,2018,25.,Urtė  Bukauskaitė,"1,80",Ukmergės Vilkmergė,2018,25.,Manta  Urbonaitė,"22,73",Šiaulių Šiauliai-Universitetas
2018,26.,Milda  Sauliūtė,"6,25",Kauno Aistės-LSMU,2018,26.,Brigita   Gudelionytė,"6,50",Klaipėdos Fortūna,2018,26.,Karolina  Kazočiūnaitė,"41,26%",Kauno Aistės-LSMU,2018,26.,Aurelija  Putramentaitė,"62,50%",Ukmergės Vilkmergė,2018,26.,Gustė  Drakšaitė,"3,29",Klaipėdos Fortūna,2018,26.,Kamilė  Berenytė,"1,20",Klaipėdos Fortūna,2018,26.,Kamilė   Žiedelytė,"0,17",Ukmergės Vilkmergė,2018,26.,Goda  Ziutelytė,"0,88",Ukmergės Vilkmergė,2018,26.,Brigita   Gudelionytė,"1,80",Klaipėdos Fortūna,2018,26.,Justina   Kraujūnaitė,"22,20",Vilniaus Kibirkštis
2018,27.,Deimantė  Žukaitė,"5,90",Kauno Aistės-LSMU,2018,27.,Kristina  Masionytė,"6,40",Kauno Aistės-LSMU,2018,27.,Andra  Gabalytė,"40,30%",Klaipėdos Fortūna,2018,27.,Karolina  Kazočiūnaitė,"62,50%",Kauno Aistės-LSMU,2018,27.,Dalia  Donskichytė,"3,25",Vilniaus Kibirkštis,2018,27.,Ieva  Šerpytytė,"1,19",Šiaulių Šiauliai-Universitetas,2018,27.,Rasa  Knyzaitė,"0,16",Ukmergės Vilkmergė,2018,27.,Ieva  Šerpytytė,"0,88",Šiaulių Šiauliai-Universitetas,2018,27.,Urtė  Slavickaitė,"1,77",Vilniaus Kibirkštis,2018,27.,Urtė  Slavickaitė,"21,62",Vilniaus Kibirkštis
2018,28.,Dominyka  Paliulytė,"5,60",Šiaulių Šiauliai-Universitetas,2018,28.,Manta  Urbonaitė,"6,40",Šiaulių Šiauliai-Universitetas,2018,28.,Miglė  Purlytė,"39,02%",Vilniaus Kibirkštis,2018,28.,Gabrielė  Šulskė,"58,47%",Ukmergės Vilkmergė,2018,28.,Milda  Sauliūtė,"3,05",Kauno Aistės-LSMU,2018,28.,Dominyka  Kučinskaitė,"1,19",Šiaulių Šiauliai-Universitetas,2018,28.,Martyna   Petrėnaitė,"0,15",Ukmergės Vilkmergė,2018,28.,Manta  Urbonaitė,"0,87",Šiaulių Šiauliai-Universitetas,2018,28.,Karolina  Kazočiūnaitė,"1,70",Kauno Aistės-LSMU,2018,28.,Milda  Sauliūtė,"21,50",Kauno Aistės-LSMU
2018,29.,Martyna   Petrėnaitė,"5,54",Ukmergės Vilkmergė,2018,29.,Urtė  Slavickaitė,"6,08",Vilniaus Kibirkštis,2018,29.,Ligita  Tamutytė,"38,78%",Klaipėdos Fortūna,2018,29.,Kourtni Dinae Perry,"54,95%",Ukmergės Vilkmergė,2018,29.,Kristina  Masionytė,"3,05",Kauno Aistės-LSMU,2018,29.,Gabija  Šegždaitė,"1,15",Kauno Aistės-LSMU,2018,29.,Urtė  Slavickaitė,"0,15",Vilniaus Kibirkštis,2018,29.,Martyna   Petrėnaitė,"0,85",Ukmergės Vilkmergė,2018,29.,Klaudija  Janionytė,"1,70",Kauno Aistės-LSMU,2018,29.,Agnė  Bobinaitė,"20,42",Vilniaus Kibirkštis
2018,30.,Manta  Urbonaitė,"5,47",Šiaulių Šiauliai-Universitetas,2018,30.,Gabija  Janušaitė,"5,46",Šiaulių Šiauliai-Universitetas,2018,30.,Aurelija  Putramentaitė,"38,24%",Ukmergės Vilkmergė,2018,30.,Enrika  Matiukaitė,"52,94%",Šiaulių Šiauliai-Universitetas,2018,30.,Dominyka  Kučinskaitė,"3,00",Šiaulių Šiauliai-Universitetas,2018,30.,Kourtni Dinae Perry,"1,10",Ukmergės Vilkmergė,2018,30.,Miglė  Purlytė,"0,13",Vilniaus Kibirkštis,2018,30.,Karolina  Kazočiūnaitė,"0,80",Kauno Aistės-LSMU,2018,30.,Lina  Mikelevičienė,"1,68",Klaipėdos Fortūna,2018,30.,Deja Monet Middleton,"19,83",Vilniaus Kibirkštis
2018,31.,Sabira  Ahayeva,"5,47",Šiaulių Šiauliai-Universitetas,2018,31.,Urtė  Bukauskaitė,"5,40",Ukmergės Vilkmergė,2018,31.,Gabrielė  Šulskė,"38,16%",Ukmergės Vilkmergė,2018,31.,Rasa  Knyzaitė,"51,16%",Ukmergės Vilkmergė,2018,31.,Agnė  Bobinaitė,"2,89",Vilniaus Kibirkštis,2018,31.,Urtė  Bukauskaitė,"1,05",Ukmergės Vilkmergė,2018,31.,Agnė  Bobinaitė,"0,11",Vilniaus Kibirkštis,2018,31.,Kamilė  Berenytė,"0,80",Klaipėdos Fortūna,2018,31.,Livija  Sakevičiūtė,"1,65",Vilniaus Kibirkštis,2018,31.,Gabija  Šegždaitė,"19,60",Kauno Aistės-LSMU
2018,32.,Eglė  Zabotkaitė,"5,27",Vilniaus Kibirkštis,2018,32.,Justina   Kraujūnaitė,"5,35",Vilniaus Kibirkštis,2018,32.,Manta  Urbonaitė,"38,14%",Šiaulių Šiauliai-Universitetas,2018,32.,Gabija  Janušaitė,"50,00%",Šiaulių Šiauliai-Universitetas,2018,32.,Urtė  Slavickaitė,"2,69",Vilniaus Kibirkštis,2018,32.,Eglė  Zabotkaitė,"1,00",Vilniaus Kibirkštis,2018,32.,Patricija  Sribikytė,"0,11",Ukmergės Vilkmergė,2018,32.,Gabija  Šegždaitė,"0,75",Kauno Aistės-LSMU,2018,32.,Deimantė  Žukaitė,"1,60",Kauno Aistės-LSMU,2018,32.,Ieva  Šerpytytė,"18,81",Šiaulių Šiauliai-Universitetas
2018,33.,Kristina  Masionytė,"4,75",Kauno Aistės-LSMU,2018,33.,Vaida  Ruseckienė,"5,24",Kauno Aistės-LSMU,2018,33.,Kamilė  Mickutė,"37,50%",Klaipėdos Fortūna,2018,33.,Manta  Urbonaitė,"48,89%",Šiaulių Šiauliai-Universitetas,2018,33.,Gabija  Janušaitė,"2,69",Šiaulių Šiauliai-Universitetas,2018,33.,Klaudija  Janionytė,"1,00",Kauno Aistės-LSMU,2018,33.,Gabrielė  Šulskė,"0,10",Ukmergės Vilkmergė,2018,33.,Enrika  Matiukaitė,"0,75",Šiaulių Šiauliai-Universitetas,2018,33.,Greta  Stašelienė,"1,58",Kauno Aistės-LSMU,2018,33.,Ieva  Šimkutė,"18,73",Vilniaus Kibirkštis
2018,34.,Gustė  Drakšaitė,"4,71",Klaipėdos Fortūna,2018,34.,Eglė  Zabotkaitė,"4,91",Vilniaus Kibirkštis,2018,34.,Dovilė  Jankauskaitė,"37,10%",Klaipėdos Fortūna,2018,34.,Daugilė  Šarauskaitė,"34,21%",Kauno Aistės-LSMU,2018,34.,Justina   Kraujūnaitė,"2,60",Vilniaus Kibirkštis,2018,34.,Deja Monet Middleton,"1,00",Vilniaus Kibirkštis,2018,34.,Kristė  Timofejeva,"0,10",Kauno Aistės-LSMU,2018,34.,Ieva  Šimkutė,"0,73",Vilniaus Kibirkštis,2018,34.,Gintarė  Kačinskaitė,"1,50",Šiaulių Šiauliai-Universitetas,2018,34.,Kamilė  Berenytė,"16,80",Klaipėdos Fortūna
